Date,Open,High,Low,Close
2/17/2005,399.13,400.94,395.50,397.31
2/20/2005,392.78,404.57,392.78,396.40
2/21/2005,400.94,415.45,399.13,414.55
2/22/2005,414.55,442.67,414.55,437.22
2/23/2005,439.04,441.76,419.08,422.71
2/24/2005,424.52,439.04,422.71,435.41
2/27/2005,464.44,464.44,449.92,455.37
2/28/2005,458.09,462.62,454.46,456.27
3/1/2005,457.18,457.18,442.67,448.11
3/2/2005,447.20,453.55,439.04,444.48
3/3/2005,444.48,451.74,444.48,449.02
3/6/2005,455.37,481.67,449.92,478.04
3/7/2005,479.86,481.67,468.97,474.41
3/8/2005,478.95,491.65,460.81,464.44
3/9/2005,468.06,471.69,449.92,453.55
3/10/2005,450.83,455.37,449.92,450.83
3/13/2005,447.20,452.64,446.29,448.11
3/14/2005,448.11,449.02,436.32,438.13
3/15/2005,439.04,442.67,433.60,441.76
3/16/2005,442.67,451.74,436.32,439.94
3/17/2005,440.85,446.29,435.41,439.04
3/20/2005,449.92,458.09,439.04,449.02
3/21/2005,446.29,451.74,442.67,442.67
3/22/2005,444.48,448.11,444.48,447.20
3/23/2005,446.29,447.20,440.85,444.48
3/24/2005,443.57,446.29,440.85,442.67
3/27/2005,445.39,458.99,442.67,457.18
3/28/2005,460.81,471.69,442.67,442.67
3/29/2005,451.74,455.37,446.29,452.64
3/30/2005,451.74,453.55,443.57,449.02
3/31/2005,447.20,449.92,431.78,436.32
4/3/2005,451.74,457.18,444.48,451.74
4/4/2005,449.02,454.46,446.29,446.29
4/5/2005,447.20,449.02,442.67,445.39
4/6/2005,440.85,446.29,435.41,441.76
4/7/2005,444.48,445.39,439.04,445.39
4/10/2005,446.29,455.37,444.48,448.11
4/11/2005,449.92,454.46,445.39,445.39
4/12/2005,448.11,448.11,442.67,444.48
4/13/2005,445.39,449.02,442.67,443.57
4/14/2005,443.57,445.39,439.04,442.67
4/17/2005,433.60,441.76,433.60,438.13
4/18/2005,439.94,442.67,437.22,440.85
4/19/2005,440.85,449.92,417.27,435.41
4/20/2005,435.41,440.85,431.78,433.60
4/21/2005,433.60,434.50,426.34,429.06
4/24/2005,418.17,440.85,418.17,430.87
4/25/2005,430.87,435.41,424.52,429.97
4/26/2005,428.15,428.15,423.62,426.34
4/27/2005,425.43,431.78,424.52,428.15
4/28/2005,428.15,446.29,425.43,429.97
5/1/2005,429.97,435.41,428.15,428.15
5/2/2005,432.69,432.69,424.52,426.34
5/3/2005,427.25,434.50,424.52,431.78
5/4/2005,429.97,453.55,429.06,440.85
5/5/2005,449.92,449.92,444.48,446.29
5/8/2005,449.02,492.56,447.20,492.56
5/9/2005,498.91,541.54,497.09,541.54
5/10/2005,540.63,549.70,511.61,536.10
5/11/2005,537.00,571.47,534.28,549.70
5/12/2005,549.70,562.40,543.35,561.50
5/15/2005,616.83,673.98,616.83,673.98
5/16/2005,707.54,707.54,653.11,667.63
5/17/2005,684.86,718.43,671.26,707.54
5/18/2005,712.98,751.08,671.26,707.54
5/19/2005,707.54,743.82,700.28,743.82
5/22/2005,780.11,789.18,744.73,765.59
5/23/2005,765.59,769.22,736.57,754.71
5/24/2005,743.82,778.29,743.82,760.15
5/25/2005,743.82,757.43,684.86,725.68
5/26/2005,718.43,762.87,696.65,762.87
5/29/2005,753.80,763.78,714.80,718.43
5/30/2005,721.15,761.97,689.40,755.62
5/31/2005,769.22,814.58,765.59,798.25
6/1/2005,820.02,878.08,816.39,878.08
6/2/2005,892.59,965.16,892.59,965.16
6/5/2005,1013.23,1013.23,908.92,968.79
6/6/2005,961.53,989.65,910.73,950.64
6/7/2005,979.67,997.81,943.39,943.39
6/8/2005,942.48,979.67,929.78,948.83
6/9/2005,956.99,956.99,943.39,950.64
6/12/2005,956.09,956.09,925.24,934.32
6/13/2005,932.50,943.39,912.55,925.24
6/14/2005,928.87,1017.77,928.87,1017.77
6/15/2005,1044.08,1084.89,1005.07,1066.75
6/16/2005,1088.52,1139.32,1086.71,1095.78
6/19/2005,1059.50,1067.66,958.81,961.53
6/20/2005,990.56,990.56,871.73,906.20
6/21/2005,913.45,913.45,816.39,820.02
6/22/2005,787.37,815.49,738.38,738.38
6/23/2005,729.31,811.86,725.68,811.86
6/26/2005,800.06,820.02,783.74,787.37
6/27/2005,796.44,841.79,780.11,827.28
6/28/2005,852.68,878.08,845.42,853.58
6/29/2005,859.93,859.93,787.37,812.76
6/30/2005,809.14,812.76,794.62,805.51
7/3/2005,773.76,776.48,707.54,747.45
7/4/2005,751.08,803.69,747.45,794.62
7/5/2005,801.88,809.14,743.82,752.90
7/6/2005,749.27,756.52,736.57,753.80
7/7/2005,747.45,775.57,743.82,751.99
7/10/2005,723.87,742.92,712.08,739.29
7/11/2005,743.82,747.45,714.80,718.43
7/12/2005,700.28,718.43,653.11,682.14
7/13/2005,682.14,701.19,671.26,696.65
7/14/2005,694.84,702.10,671.26,678.51
7/17/2005,652.21,658.56,589.62,595.06
7/18/2005,591.43,605.04,536.10,536.10
7/19/2005,566.03,589.62,556.96,589.62
7/20/2005,591.43,648.58,585.08,648.58
7/21/2005,660.37,707.54,650.39,680.33
7/24/2005,769.22,816.39,751.08,769.22
7/25/2005,771.94,771.94,728.40,743.82
7/26/2005,740.20,786.46,729.31,758.34
7/27/2005,760.15,789.18,754.71,783.74
7/28/2005,780.11,815.49,774.67,794.62
7/31/2005,798.25,803.69,781.02,789.18
8/1/2005,710.26,787.37,710.26,780.11
8/2/2005,780.11,794.62,776.48,790.99
8/3/2005,798.25,801.88,780.11,790.99
8/4/2005,790.09,794.62,781.92,789.18
8/7/2005,804.60,823.65,803.69,816.39
8/8/2005,825.46,863.56,822.74,841.79
8/9/2005,842.70,844.51,821.83,825.46
8/10/2005,820.02,837.26,809.14,827.28
8/11/2005,829.09,830.00,820.02,821.83
8/14/2005,823.65,829.09,812.76,820.93
8/15/2005,820.02,823.65,805.51,820.02
8/16/2005,810.95,870.82,809.14,867.19
8/17/2005,863.56,875.35,841.79,852.68
8/18/2005,849.05,868.10,843.61,867.19
8/21/2005,900.75,917.99,870.82,905.29
8/22/2005,921.62,921.62,898.03,907.10
8/23/2005,899.85,947.02,898.03,943.39
8/24/2005,972.41,1030.47,972.41,1015.05
8/25/2005,1019.58,1022.30,982.39,998.72
8/28/2005,974.23,980.58,917.08,948.83
8/29/2005,961.53,993.28,935.22,965.16
8/30/2005,972.41,1007.79,961.53,997.81
8/31/2005,1003.26,1086.71,997.81,1075.82
9/1/2005,1056.77,1064.03,1026.84,1034.10
9/4/2005,957.90,1006.88,955.18,1001.44
9/5/2005,1005.07,1035.91,962.44,992.37
9/6/2005,976.04,993.28,936.13,948.83
9/7/2005,960.62,986.93,950.64,965.16
9/8/2005,950.64,961.53,932.50,943.39
9/11/2005,974.23,988.74,968.79,985.11
9/12/2005,985.11,1018.68,979.67,991.46
9/13/2005,986.93,1004.16,980.58,997.81
9/14/2005,1007.79,1049.52,1006.88,1019.58
9/15/2005,1019.58,1022.30,1008.70,1012.33
9/18/2005,1030.47,1046.80,990.56,1017.77
9/19/2005,1018.68,1022.30,1005.07,1015.95
9/20/2005,1037.73,1044.98,1016.86,1039.54
9/21/2005,1048.61,1052.24,1030.47,1043.17
9/22/2005,1051.33,1075.82,1048.61,1057.68
9/25/2005,1064.94,1074.01,997.81,1019.58
9/26/2005,1016.86,1033.19,986.93,1007.79
9/27/2005,999.63,1030.47,999.63,1030.47
9/28/2005,1035.91,1048.61,1017.77,1039.54
9/29/2005,1041.35,1041.35,1023.21,1026.84
10/2/2005,1023.21,1026.84,997.81,1008.70
10/3/2005,1012.33,1062.22,1008.70,1047.70
10/4/2005,1034.10,1152.02,1023.21,1152.02
10/5/2005,1139.32,1160.18,1036.82,1036.82
10/6/2005,1062.22,1117.55,961.53,1059.50
10/9/2005,1081.27,1084.89,1037.73,1047.70
10/10/2005,1045.89,1052.24,1020.49,1033.19
10/11/2005,1037.73,1074.01,1034.10,1068.57
10/12/2005,1066.75,1079.45,1054.05,1059.50
10/13/2005,1055.87,1063.12,1044.98,1051.33
10/16/2005,1037.73,1060.40,1026.84,1055.87
10/17/2005,1055.87,1061.31,1015.95,1039.54
10/18/2005,1039.54,1082.17,1038.63,1075.82
10/19/2005,1084.89,1099.41,1070.38,1083.08
10/20/2005,1083.08,1090.34,1066.75,1078.55
10/23/2005,1099.41,1113.92,1085.80,1099.41
10/24/2005,1113.92,1171.98,1106.67,1142.95
10/25/2005,1145.67,1148.39,1126.62,1133.88
10/26/2005,1132.06,1150.21,1119.36,1144.76
10/27/2005,1148.39,1148.39,1128.44,1133.88
10/30/2005,1135.69,1152.02,1121.18,1135.69
10/31/2005,1136.60,1139.32,1124.81,1130.25
11/8/2005,1139.32,1140.23,1129.34,1134.79
11/9/2005,1132.06,1133.88,1124.81,1128.44
11/10/2005,1132.06,1146.58,1132.06,1132.97
11/13/2005,1142.95,1191.93,1129.34,1190.12
11/14/2005,1185.58,1226.40,1168.35,1182.86
11/15/2005,1182.86,1192.84,1164.72,1176.51
11/16/2005,1176.51,1186.49,1168.35,1172.88
11/17/2005,1171.98,1181.05,1164.72,1175.61
11/20/2005,1201.00,1220.96,1171.98,1196.47
11/21/2005,1197.38,1222.77,1186.49,1219.15
11/22/2005,1233.66,1245.45,1215.52,1240.92
11/23/2005,1248.17,1270.85,1230.03,1259.06
11/24/2005,1251.80,1257.24,1240.92,1243.64
11/27/2005,1211.89,1226.40,1198.28,1211.89
11/28/2005,1212.80,1222.77,1191.03,1210.07
11/29/2005,1208.26,1220.96,1202.82,1211.89
11/30/2005,1211.89,1219.15,1198.28,1208.26
12/1/2005,1207.35,1208.26,1197.38,1206.45
12/4/2005,1217.33,1222.77,1197.38,1204.63
12/5/2005,1201.00,1204.63,1142.95,1182.86
12/6/2005,1182.86,1210.07,1175.61,1197.38
12/7/2005,1192.84,1201.00,1153.83,1179.23
12/8/2005,1177.42,1185.58,1165.63,1183.77
12/11/2005,1213.70,1214.61,1198.28,1204.63
12/12/2005,1204.63,1211.89,1197.38,1201.00
12/13/2005,1201.91,1241.82,1192.84,1225.50
12/14/2005,1226.40,1248.17,1219.15,1222.77
12/15/2005,1229.12,1239.10,1217.33,1226.40
12/18/2005,1319.83,1347.95,1240.92,1248.17
12/19/2005,1241.82,1262.69,1226.40,1248.17
12/20/2005,1250.89,1273.57,1223.68,1226.40
12/21/2005,1230.03,1246.36,1219.15,1243.64
12/22/2005,1295.34,1335.26,1288.09,1304.41
12/25/2005,1284.46,1297.16,1248.17,1279.92
12/26/2005,1282.64,1289.90,1266.32,1275.39
12/27/2005,1277.20,1334.35,1269.94,1304.41
12/28/2005,1313.48,1341.60,1300.79,1334.35
12/29/2005,1342.51,1378.80,1340.70,1378.80
1/1/2006,1407.82,1427.78,1353.40,1360.65
1/2/2006,1357.03,1392.40,1335.26,1360.65
1/3/2006,1364.28,1367.91,1313.48,1324.37
1/4/2006,1327.09,1353.40,1289.90,1314.39
1/5/2006,1317.11,1340.70,1284.46,1287.18
1/8/2006,1353.40,1382.42,1349.77,1369.72
1/16/2006,1393.31,1396.03,1366.10,1393.31
1/17/2006,1393.31,1396.03,1353.40,1387.87
1/18/2006,1389.68,1389.68,1364.28,1372.45
1/19/2006,1375.17,1375.17,1352.49,1359.75
1/22/2006,1197.38,1244.54,1179.23,1191.93
1/23/2006,1190.12,1197.38,1142.95,1162.91
1/24/2006,1161.09,1161.09,1142.95,1155.65
1/25/2006,1157.46,1175.61,1150.21,1167.44
1/26/2006,1168.35,1186.49,1157.46,1177.42
1/29/2006,1219.15,1251.80,1092.15,1168.35
1/30/2006,1175.61,1179.23,1142.95,1171.98
1/31/2006,1179.23,1185.58,1124.81,1157.46
2/1/2006,1157.46,1159.28,1145.67,1154.74
2/2/2006,1154.74,1175.61,1150.21,1159.28
2/5/2006,1175.61,1211.89,1168.35,1201.00
2/6/2006,1190.12,1320.74,1182.86,1320.74
2/7/2006,1367.91,1422.34,1353.40,1357.03
2/8/2006,1353.40,1357.03,1298.97,1313.48
2/9/2006,1324.37,1335.26,1295.34,1313.48
2/12/2006,1433.22,1523.93,1404.19,1494.91
2/13/2006,1516.68,1574.73,1505.79,1509.42
2/14/2006,1513.05,1571.10,1473.13,1549.33
2/15/2006,1523.93,1705.35,1523.93,1705.35
2/16/2006,1748.89,1796.06,1534.82,1578.36
2/19/2006,1643.67,1679.95,1614.64,1618.27
2/20/2006,1621.90,1777.92,1621.90,1777.92
2/21/2006,1850.49,1912.17,1705.35,1883.15
2/22/2006,1857.75,1908.54,1698.10,1799.69
2/23/2006,1832.35,1926.69,1745.27,1915.80
2/26/2006,1730.75,1730.75,1730.75,1730.75
2/27/2006,1647.30,1647.30,1647.30,1647.30
2/28/2006,1567.47,1647.30,1567.47,1632.78
3/1/2006,1640.04,1650.93,1552.96,1552.96
3/2/2006,1476.76,1476.76,1476.76,1476.76
3/5/2006,1335.26,1396.94,1335.26,1335.26
3/6/2006,1324.37,1400.57,1273.57,1400.57
3/7/2006,1360.65,1393.31,1331.63,1331.63
3/8/2006,1266.32,1266.32,1266.32,1266.32
3/9/2006,1204.63,1251.80,1204.63,1240.92
3/12/2006,1110.29,1110.29,1110.29,1110.29
3/13/2006,1055.87,1055.87,1055.87,1055.87
3/14/2006,1005.07,1005.07,1005.07,1005.07
3/15/2006,957.90,1048.61,957.90,1041.35
3/16/2006,1055.87,1077.64,1030.47,1077.64
3/19/2006,976.04,976.04,976.04,976.04
3/20/2006,928.87,928.87,928.87,928.87
3/21/2006,885.33,921.62,885.33,885.33
3/22/2006,841.79,841.79,841.79,841.79
3/23/2006,801.88,801.88,801.88,801.88
3/26/2006,725.68,725.68,725.68,725.68
3/27/2006,689.40,714.80,689.40,689.40
3/28/2006,722.05,722.05,693.03,722.05
3/29/2006,754.71,754.71,740.20,754.71
4/2/2006,679.42,778.29,677.61,770.13
4/3/2006,769.22,823.65,745.64,790.99
4/4/2006,801.88,869.91,786.46,849.96
4/5/2006,852.68,894.40,775.57,804.60
4/9/2006,834.53,908.01,816.39,908.01
4/10/2006,885.33,978.76,817.30,817.30
4/11/2006,772.85,816.39,735.66,735.66
4/12/2006,674.88,790.99,662.18,725.68
4/16/2006,589.62,589.62,589.62,589.62
4/17/2006,557.87,589.62,530.66,530.66
4/18/2006,480.76,480.76,480.76,480.76
4/19/2006,435.41,503.44,435.41,435.41
4/23/2006,399.13,408.20,376.45,376.45
4/24/2006,340.16,362.84,340.16,362.84
4/25/2006,362.84,399.13,344.70,399.13
4/26/2006,399.13,435.41,380.98,435.41
4/27/2006,435.41,471.69,394.59,399.13
4/30/2006,353.77,394.59,326.56,380.98
5/1/2006,394.59,417.27,390.05,417.27
5/2/2006,426.34,444.48,390.05,421.80
5/3/2006,408.20,458.09,408.20,458.09
5/4/2006,467.16,503.44,449.02,449.02
5/7/2006,380.98,430.87,367.38,371.91
5/8/2006,385.52,408.20,367.38,408.20
5/9/2006,417.27,426.34,367.38,367.38
5/10/2006,362.84,380.98,331.09,340.16
5/11/2006,331.09,353.77,312.95,353.77
5/14/2006,421.80,421.80,408.20,421.80
5/15/2006,417.27,462.62,403.66,462.62
5/16/2006,453.55,480.76,417.27,417.27
5/17/2006,390.05,439.94,390.05,421.80
5/18/2006,426.34,453.55,421.80,444.48
5/21/2006,453.55,467.16,426.34,435.41
5/22/2006,430.87,471.69,426.34,426.34
5/23/2006,430.87,458.09,408.20,449.02
5/24/2006,462.62,489.84,444.48,489.84
5/25/2006,498.91,512.51,489.84,494.37
5/28/2006,476.23,521.58,471.69,507.98
5/29/2006,512.51,521.58,494.37,512.51
5/30/2006,512.51,535.19,498.91,521.58
5/31/2006,521.58,535.19,498.91,507.98
6/1/2006,512.51,517.05,503.44,507.98
6/4/2006,571.47,612.29,562.40,612.29
6/5/2006,621.37,653.11,612.29,648.58
6/6/2006,657.65,712.08,644.04,712.08
6/7/2006,716.61,734.75,644.04,644.04
6/8/2006,607.76,671.26,580.55,662.18
6/11/2006,725.68,780.11,716.61,775.57
6/12/2006,784.64,784.64,712.08,734.75
6/13/2006,725.68,757.43,671.26,707.54
6/14/2006,693.93,725.68,675.79,721.15
6/18/2006,771.04,780.11,734.75,743.82
6/19/2006,743.82,752.90,721.15,734.75
6/20/2006,725.68,748.36,721.15,739.29
6/21/2006,734.75,789.18,730.22,766.50
6/25/2006,784.64,793.71,771.04,784.64
6/26/2006,784.64,807.32,761.97,784.64
6/27/2006,793.71,852.68,789.18,816.39
6/28/2006,820.93,825.46,743.82,766.50
7/2/2006,743.82,784.64,716.61,766.50
7/3/2006,766.50,775.57,725.68,730.22
7/4/2006,725.68,752.90,716.61,734.75
7/5/2006,743.82,748.36,730.22,748.36
7/9/2006,771.04,807.32,707.54,725.68
7/10/2006,734.75,761.97,703.00,721.15
7/11/2006,721.15,766.50,712.08,734.75
7/12/2006,739.29,752.90,666.72,675.79
7/16/2006,553.33,657.65,553.33,553.33
7/17/2006,548.80,607.76,526.12,607.76
7/18/2006,607.76,639.51,594.15,607.76
7/19/2006,580.55,589.62,548.80,557.87
7/23/2006,585.08,612.29,571.47,607.76
7/24/2006,598.69,607.76,557.87,566.94
7/25/2006,566.94,580.55,512.51,512.51
7/26/2006,512.51,530.66,498.91,517.05
7/30/2006,566.94,576.01,544.26,557.87
7/31/2006,557.87,594.15,553.33,576.01
8/1/2006,580.55,589.62,557.87,576.01
8/2/2006,571.47,598.69,566.94,589.62
8/6/2006,639.51,648.58,612.29,621.37
8/7/2006,621.37,630.44,603.22,621.37
8/8/2006,621.37,657.65,612.29,639.51
8/9/2006,639.51,648.58,621.37,639.51
8/13/2006,703.00,703.00,653.11,675.79
8/14/2006,671.26,689.40,662.18,684.86
8/15/2006,680.33,684.86,644.04,653.11
8/16/2006,634.97,662.18,634.97,662.18
8/20/2006,684.86,698.47,666.72,680.33
8/21/2006,675.79,684.86,648.58,662.18
8/22/2006,653.11,689.40,634.97,671.26
8/23/2006,675.79,684.86,657.65,662.18
8/27/2006,684.86,689.40,653.11,671.26
8/28/2006,666.72,671.26,644.04,662.18
8/29/2006,662.18,675.79,657.65,662.18
8/30/2006,653.11,662.18,639.51,653.11
9/3/2006,684.86,748.36,675.79,721.15
9/4/2006,725.68,743.82,712.08,721.15
9/5/2006,712.08,757.43,707.54,743.82
9/6/2006,748.36,766.50,730.22,743.82
9/10/2006,766.50,793.71,761.97,789.18
9/11/2006,793.71,866.28,793.71,866.28
9/12/2006,879.89,925.24,861.75,875.35
9/13/2006,870.82,875.35,793.71,798.25
9/17/2006,752.90,775.57,730.22,757.43
9/18/2006,757.43,830.00,752.90,820.93
9/19/2006,798.25,816.39,739.29,739.29
9/20/2006,739.29,780.11,725.68,743.82
9/24/2006,757.43,802.79,743.82,793.71
9/25/2006,789.18,793.71,757.43,761.97
9/26/2006,761.97,830.00,761.97,830.00
9/27/2006,848.14,857.21,798.25,834.53
10/1/2006,852.68,861.75,780.11,789.18
10/2/2006,798.25,830.00,761.97,766.50
10/3/2006,780.11,784.64,693.93,707.54
10/4/2006,725.68,757.43,703.00,752.90
10/8/2006,771.04,771.04,707.54,734.75
10/9/2006,743.82,743.82,707.54,721.15
10/10/2006,712.08,725.68,693.93,721.15
10/11/2006,721.15,721.15,698.47,703.00
10/15/2006,625.90,662.18,594.15,657.65
10/16/2006,653.11,666.72,630.44,644.04
10/17/2006,644.04,675.79,634.97,653.11
10/18/2006,625.90,666.72,625.90,666.72
10/29/2006,712.08,748.36,698.47,703.00
10/30/2006,689.40,689.40,639.51,653.11
10/31/2006,644.04,671.26,603.22,616.83
11/1/2006,616.83,630.44,562.40,566.94
11/5/2006,507.98,548.80,494.37,512.51
11/6/2006,517.05,517.05,462.62,476.23
11/7/2006,471.69,489.84,462.62,476.23
11/8/2006,471.69,476.23,430.87,439.94
11/12/2006,380.98,435.41,376.45,435.41
11/13/2006,458.09,476.23,435.41,467.16
11/14/2006,453.55,453.55,421.80,421.80
11/15/2006,408.20,462.62,408.20,462.62
11/19/2006,467.16,476.23,439.94,453.55
11/20/2006,435.41,458.09,417.27,439.94
11/21/2006,439.94,462.62,439.94,449.02
11/22/2006,453.55,462.62,449.02,453.55
11/26/2006,453.55,458.09,408.20,412.73
11/27/2006,403.66,412.73,371.91,408.20
11/28/2006,412.73,417.27,399.13,403.66
11/29/2006,399.13,403.66,367.38,390.05
12/3/2006,412.73,430.87,385.52,385.52
12/4/2006,371.91,399.13,367.38,371.91
12/5/2006,394.59,408.20,385.52,408.20
12/6/2006,426.34,444.48,412.73,421.80
12/10/2006,467.16,507.98,444.48,453.55
12/11/2006,453.55,471.69,430.87,435.41
12/12/2006,430.87,453.55,430.87,444.48
12/13/2006,439.94,485.30,439.94,480.76
12/17/2006,544.26,576.01,530.66,576.01
12/18/2006,589.62,630.44,589.62,630.44
12/19/2006,653.11,684.86,571.47,571.47
12/20/2006,562.40,612.29,544.26,598.69
12/24/2006,598.69,603.22,562.40,585.08
12/25/2006,585.08,603.22,580.55,589.62
12/26/2006,585.08,648.58,585.08,616.83
12/27/2006,625.90,630.44,594.15,616.83
1/7/2007,648.58,680.33,594.15,598.69
1/8/2007,589.62,621.37,585.08,598.69
1/9/2007,603.22,607.76,580.55,598.69
1/10/2007,598.69,598.69,544.26,557.87
1/14/2007,494.37,553.33,489.84,548.80
1/15/2007,557.87,585.08,548.80,566.94
1/16/2007,566.94,566.94,517.05,521.58
1/17/2007,521.58,544.26,521.58,539.73
1/21/2007,507.98,517.05,498.91,507.98
1/22/2007,517.05,535.19,494.37,530.66
1/23/2007,521.58,544.26,512.51,535.19
1/24/2007,530.66,535.19,494.37,530.66
1/28/2007,535.19,589.62,535.19,589.62
1/29/2007,598.69,612.29,553.33,603.22
1/30/2007,594.15,598.69,576.01,594.15
1/31/2007,589.62,603.22,580.55,589.62
2/4/2007,630.44,639.51,612.29,625.90
2/5/2007,616.83,630.44,607.76,621.37
2/6/2007,616.83,634.97,612.29,634.97
2/7/2007,634.97,689.40,630.44,680.33
2/11/2007,684.86,684.86,671.26,675.79
2/12/2007,671.26,712.08,666.72,703.00
2/13/2007,689.40,703.00,684.86,693.93
2/14/2007,689.40,693.93,666.72,671.26
2/18/2007,671.26,684.86,657.65,675.79
2/19/2007,680.33,684.86,648.58,653.11
2/20/2007,653.11,657.65,644.04,653.11
2/21/2007,657.65,675.79,653.11,671.26
2/25/2007,675.79,675.79,662.18,671.26
2/26/2007,666.72,734.75,662.18,734.75
2/27/2007,716.61,730.22,693.93,703.00
2/28/2007,671.26,680.33,644.04,657.65
3/4/2007,698.47,725.68,698.47,703.00
3/5/2007,707.54,739.29,693.93,739.29
3/6/2007,734.75,752.90,716.61,721.15
3/7/2007,716.61,725.68,698.47,716.61
3/11/2007,784.64,816.39,761.97,798.25
3/12/2007,798.25,816.39,766.50,766.50
3/13/2007,761.97,780.11,743.82,775.57
3/14/2007,775.57,780.11,761.97,771.04
3/18/2007,784.64,784.64,771.04,780.11
3/19/2007,780.11,825.46,771.04,802.79
3/20/2007,784.64,807.32,784.64,784.64
3/21/2007,784.64,798.25,707.54,752.90
3/25/2007,771.04,784.64,757.43,766.50
3/26/2007,761.97,761.97,693.93,693.93
3/27/2007,666.72,689.40,634.97,666.72
3/28/2007,684.86,698.47,657.65,666.72
4/1/2007,621.37,684.86,616.83,680.33
4/2/2007,671.26,680.33,653.11,657.65
4/3/2007,662.18,680.33,648.58,662.18
4/4/2007,657.65,666.72,653.11,666.72
4/8/2007,734.75,748.36,707.54,712.08
4/9/2007,698.47,748.36,689.40,725.68
4/10/2007,730.22,771.04,725.68,761.97
4/11/2007,748.36,757.43,730.22,757.43
4/15/2007,666.72,689.40,653.11,689.40
4/16/2007,684.86,707.54,666.72,693.93
4/17/2007,693.93,725.68,689.40,703.00
4/18/2007,721.15,734.75,689.40,698.47
4/22/2007,734.75,766.50,716.61,716.61
4/23/2007,716.61,721.15,666.72,671.26
4/24/2007,666.72,689.40,657.65,671.26
4/25/2007,671.26,684.86,666.72,680.33
4/29/2007,703.00,703.00,662.18,666.72
4/30/2007,671.26,680.33,666.72,675.79
5/1/2007,680.33,689.40,671.26,684.86
5/2/2007,684.86,703.00,680.33,680.33
5/6/2007,684.86,725.68,684.86,725.68
5/7/2007,725.68,743.82,712.08,725.68
